week_date,date_format,segment,day_number,month_number,year_number,age_band,demographic,transactions,sales,region,avg_transaction,platform,week_day,week_number
31/8/20,2020-08-31,C2,31,8,20,"Middle Aged",Couples,111219,2980673,OCEANIA,27,Retail,Monday,35
31/8/20,2020-08-31,F1,31,8,20,"Young Adults",Families,11820,463738,USA,39,Retail,Monday,35
31/8/20,2020-08-31,F3,31,8,20,Retirees,Families,1363,65730,"SOUTH AMERICA",48,Retail,Monday,35
31/8/20,2020-08-31,C3,31,8,20,Retirees,Couples,284971,14430196,AFRICA,51,Retail,Monday,35
31/8/20,2020-08-31,F2,31,8,20,"Middle Aged",Families,70496,2176980,ASIA,31,Retail,Monday,35
31/8/20,2020-08-31,F1,31,8,20,"Young Adults",Families,2678,478756,AFRICA,179,Shopify,Monday,35
31/8/20,2020-08-31,C4,31,8,20,Retirees,Couples,22,3319,USA,151,Shopify,Monday,35
31/8/20,2020-08-31,F3,31,8,20,Retirees,Families,94274,5306746,CANADA,56,Retail,Monday,35
31/8/20,2020-08-31,F1,31,8,20,"Young Adults",Families,94287,4511841,ASIA,48,Retail,Monday,35
31/8/20,2020-08-31,null,31,8,20,Unknown,Unknown,3064,134249,EUROPE,44,Retail,Monday,35
31/8/20,2020-08-31,F1,31,8,20,"Young Adults",Families,7,1579,EUROPE,226,Shopify,Monday,35
31/8/20,2020-08-31,C4,31,8,20,Retirees,Couples,329,11451,"SOUTH AMERICA",35,Retail,Monday,35
31/8/20,2020-08-31,F1,31,8,20,"Young Adults",Families,854,31589,"SOUTH AMERICA",37,Retail,Monday,35
31/8/20,2020-08-31,C2,31,8,20,"Middle Aged",Couples,180,53567,EUROPE,298,Shopify,Monday,35
31/8/20,2020-08-31,F2,31,8,20,"Middle Aged",Families,15,4023,EUROPE,268,Shopify,Monday,35
31/8/20,2020-08-31,C2,31,8,20,"Middle Aged",Couples,112361,4768214,AFRICA,42,Retail,Monday,35
31/8/20,2020-08-31,C2,31,8,20,"Middle Aged",Couples,2269,396909,ASIA,175,Shopify,Monday,35
31/8/20,2020-08-31,C4,31,8,20,Retirees,Couples,58,8562,AFRICA,148,Shopify,Monday,35
31/8/20,2020-08-31,F3,31,8,20,Retirees,Families,142898,8723663,USA,61,Retail,Monday,35
31/8/20,2020-08-31,C3,31,8,20,Retirees,Couples,4703,957939,OCEANIA,204,Shopify,Monday,35
31/8/20,2020-08-31,null,31,8,20,Unknown,Unknown,40,7625,"SOUTH AMERICA",191,Shopify,Monday,35
31/8/20,2020-08-31,C1,31,8,20,"Young Adults",Couples,164,20635,USA,126,Shopify,Monday,35
31/8/20,2020-08-31,C1,31,8,20,"Young Adults",Couples,20,2265,"SOUTH AMERICA",113,Shopify,Monday,35
31/8/20,2020-08-31,C1,31,8,20,"Young Adults",Couples,14583,633917,EUROPE,43,Retail,Monday,35
31/8/20,2020-08-31,F2,31,8,20,"Middle Aged",Families,452,72293,OCEANIA,160,Shopify,Monday,35
31/8/20,2020-08-31,F2,31,8,20,"Middle Aged",Families,382,13839,"SOUTH AMERICA",36,Retail,Monday,35
31/8/20,2020-08-31,C3,31,8,20,Retirees,Couples,1503,68009,"SOUTH AMERICA",45,Retail,Monday,35
31/8/20,2020-08-31,F1,31,8,20,"Young Adults",Families,7033,269176,CANADA,38,Retail,Monday,35
31/8/20,2020-08-31,null,31,8,20,Unknown,Unknown,329,10874,"SOUTH AMERICA",33,Retail,Monday,35
31/8/20,2020-08-31,F1,31,8,20,"Young Adults",Families,24153,1306932,CANADA,54,Retail,Monday,35
31/8/20,2020-08-31,null,31,8,20,Unknown,Unknown,15,3507,EUROPE,234,Shopify,Monday,35
31/8/20,2020-08-31,F3,31,8,20,Retirees,Families,18676,1144376,EUROPE,61,Retail,Monday,35
31/8/20,2020-08-31,C3,31,8,20,Retirees,Couples,19,3325,"SOUTH AMERICA",175,Shopify,Monday,35
31/8/20,2020-08-31,null,31,8,20,Unknown,Unknown,87,15074,CANADA,173,Shopify,Monday,35
31/8/20,2020-08-31,C4,31,8,20,Retirees,Couples,29577,1473178,CANADA,50,Retail,Monday,35
31/8/20,2020-08-31,F1,31,8,20,"Young Adults",Families,41631,1369115,OCEANIA,33,Retail,Monday,35
31/8/20,2020-08-31,F3,31,8,20,Retirees,Families,402652,20255591,ASIA,50,Retail,Monday,35
31/8/20,2020-08-31,null,31,8,20,Unknown,Unknown,1936351,48773122,ASIA,25,Retail,Monday,35
31/8/20,2020-08-31,C2,31,8,20,"Middle Aged",Couples,413,55780,ASIA,135,Shopify,Monday,35
31/8/20,2020-08-31,F3,31,8,20,Retirees,Families,4,554,EUROPE,139,Shopify,Monday,35
31/8/20,2020-08-31,C2,31,8,20,"Middle Aged",Couples,43493,2126153,USA,49,Retail,Monday,35
31/8/20,2020-08-31,C2,31,8,20,"Middle Aged",Couples,169157,6603287,OCEANIA,39,Retail,Monday,35
31/8/20,2020-08-31,null,31,8,20,Unknown,Unknown,5893,1026838,AFRICA,174,Shopify,Monday,35
31/8/20,2020-08-31,C3,31,8,20,Retirees,Couples,245151,11086427,ASIA,45,Retail,Monday,35
31/8/20,2020-08-31,C4,31,8,20,Retirees,Couples,119,19049,CANADA,160,Shopify,Monday,35
31/8/20,2020-08-31,F2,31,8,20,"Middle Aged",Families,2983,564306,ASIA,189,Shopify,Monday,35
31/8/20,2020-08-31,F3,31,8,20,Retirees,Families,32,7331,"SOUTH AMERICA",229,Shopify,Monday,35
31/8/20,2020-08-31,F1,31,8,20,"Young Adults",Families,40076,2272687,USA,57,Retail,Monday,35
31/8/20,2020-08-31,C4,31,8,20,Retirees,Couples,7,1562,"SOUTH AMERICA",223,Shopify,Monday,35
31/8/20,2020-08-31,null,31,8,20,Unknown,Unknown,88,12836,CANADA,146,Shopify,Monday,35
31/8/20,2020-08-31,C4,31,8,20,Retirees,Couples,46545,1548637,AFRICA,33,Retail,Monday,35
31/8/20,2020-08-31,C2,31,8,20,"Middle Aged",Couples,228,45518,USA,200,Shopify,Monday,35
31/8/20,2020-08-31,C3,31,8,20,Retirees,Couples,1045,37786,"SOUTH AMERICA",36,Retail,Monday,35
31/8/20,2020-08-31,C4,31,8,20,Retirees,Couples,279,48624,ASIA,174,Shopify,Monday,35
31/8/20,2020-08-31,null,31,8,20,Unknown,Unknown,66042,2156778,ASIA,33,Retail,Monday,35
31/8/20,2020-08-31,C4,31,8,20,Retirees,Couples,117018,5941067,AFRICA,51,Retail,Monday,35
31/8/20,2020-08-31,F1,31,8,20,"Young Adults",Families,6769,395877,EUROPE,58,Retail,Monday,35
31/8/20,2020-08-31,F3,31,8,20,Retirees,Families,403810,22712143,AFRICA,56,Retail,Monday,35
31/8/20,2020-08-31,F1,31,8,20,"Young Adults",Families,74,16149,"SOUTH AMERICA",218,Shopify,Monday,35
31/8/20,2020-08-31,F2,31,8,20,"Middle Aged",Families,61517,3322211,CANADA,54,Retail,Monday,35
31/8/20,2020-08-31,F3,31,8,20,Retirees,Families,1655,66422,EUROPE,40,Retail,Monday,35
31/8/20,2020-08-31,F1,31,8,20,"Young Adults",Families,201,27184,AFRICA,135,Shopify,Monday,35
31/8/20,2020-08-31,null,31,8,20,Unknown,Unknown,5794,979807,ASIA,169,Shopify,Monday,35
31/8/20,2020-08-31,F1,31,8,20,"Young Adults",Families,23416,833470,AFRICA,36,Retail,Monday,35
31/8/20,2020-08-31,F1,31,8,20,"Young Adults",Families,144056,7178808,OCEANIA,50,Retail,Monday,35
31/8/20,2020-08-31,C4,31,8,20,Retirees,Couples,151673,7422165,OCEANIA,49,Retail,Monday,35
31/8/20,2020-08-31,C1,31,8,20,"Young Adults",Couples,585,91616,CANADA,157,Shopify,Monday,35
31/8/20,2020-08-31,F2,31,8,20,"Middle Aged",Families,18180,661362,CANADA,36,Retail,Monday,35
31/8/20,2020-08-31,C1,31,8,20,"Young Adults",Couples,30402,786613,CANADA,26,Retail,Monday,35
31/8/20,2020-08-31,C1,31,8,20,"Young Adults",Couples,69,11755,"SOUTH AMERICA",170,Shopify,Monday,35
31/8/20,2020-08-31,C2,31,8,20,"Middle Aged",Couples,26620,883573,USA,33,Retail,Monday,35
31/8/20,2020-08-31,null,31,8,20,Unknown,Unknown,58165,2232935,AFRICA,38,Retail,Monday,35
31/8/20,2020-08-31,C1,31,8,20,"Young Adults",Couples,97,12438,CANADA,128,Shopify,Monday,35
31/8/20,2020-08-31,F2,31,8,20,"Middle Aged",Families,37,8473,"SOUTH AMERICA",229,Shopify,Monday,35
31/8/20,2020-08-31,C2,31,8,20,"Middle Aged",Couples,2857,104677,EUROPE,37,Retail,Monday,35
31/8/20,2020-08-31,C4,31,8,20,Retirees,Couples,65594,2016930,OCEANIA,31,Retail,Monday,35
31/8/20,2020-08-31,C2,31,8,20,"Middle Aged",Couples,9710,461694,EUROPE,48,Retail,Monday,35
31/8/20,2020-08-31,C4,31,8,20,Retirees,Couples,3,1221,EUROPE,407,Shopify,Monday,35
31/8/20,2020-08-31,C3,31,8,20,Retirees,Couples,567,95547,OCEANIA,169,Shopify,Monday,35
31/8/20,2020-08-31,C1,31,8,20,"Young Adults",Couples,36069,990085,USA,27,Retail,Monday,35
31/8/20,2020-08-31,F2,31,8,20,"Middle Aged",Families,220712,10624187,ASIA,48,Retail,Monday,35
31/8/20,2020-08-31,null,31,8,20,Unknown,Unknown,11218,2078649,OCEANIA,185,Shopify,Monday,35
31/8/20,2020-08-31,C3,31,8,20,Retirees,Couples,205,33536,USA,164,Shopify,Monday,35
31/8/20,2020-08-31,C1,31,8,20,"Young Adults",Couples,299,35957,AFRICA,120,Shopify,Monday,35
31/8/20,2020-08-31,F1,31,8,20,"Young Adults",Families,953,40760,EUROPE,43,Retail,Monday,35
31/8/20,2020-08-31,C2,31,8,20,"Middle Aged",Couples,45,8917,"SOUTH AMERICA",198,Shopify,Monday,35
31/8/20,2020-08-31,C3,31,8,20,Retirees,Couples,846,154393,CANADA,183,Shopify,Monday,35
31/8/20,2020-08-31,C1,31,8,20,"Young Adults",Couples,57648,2393490,USA,42,Retail,Monday,35
31/8/20,2020-08-31,C1,31,8,20,"Young Adults",Couples,21,3288,EUROPE,157,Shopify,Monday,35
31/8/20,2020-08-31,F2,31,8,20,"Middle Aged",Families,9,1437,"SOUTH AMERICA",160,Shopify,Monday,35
31/8/20,2020-08-31,F3,31,8,20,Retirees,Families,190,30264,OCEANIA,159,Shopify,Monday,35
31/8/20,2020-08-31,C3,31,8,20,Retirees,Couples,2647,530397,AFRICA,200,Shopify,Monday,35
31/8/20,2020-08-31,C4,31,8,20,Retirees,Couples,21,2494,CANADA,119,Shopify,Monday,35
31/8/20,2020-08-31,F2,31,8,20,"Middle Aged",Families,91435,3101538,OCEANIA,34,Retail,Monday,35
31/8/20,2020-08-31,C3,31,8,20,Retirees,Couples,3843,158799,EUROPE,41,Retail,Monday,35
31/8/20,2020-08-31,F3,31,8,20,Retirees,Families,28987,1096531,USA,38,Retail,Monday,35
31/8/20,2020-08-31,F2,31,8,20,"Middle Aged",Families,245,35519,ASIA,145,Shopify,Monday,35
31/8/20,2020-08-31,C3,31,8,20,Retirees,Couples,339633,16520774,OCEANIA,49,Retail,Monday,35
31/8/20,2020-08-31,C3,31,8,20,Retirees,Couples,182,45036,EUROPE,247,Shopify,Monday,35
31/8/20,2020-08-31,F3,31,8,20,Retirees,Families,659,126801,CANADA,192,Shopify,Monday,35
31/8/20,2020-08-31,C3,31,8,20,Retirees,Couples,340,56734,AFRICA,167,Shopify,Monday,35
31/8/20,2020-08-31,C1,31,8,20,"Young Adults",Couples,187781,6218547,ASIA,33,Retail,Monday,35
31/8/20,2020-08-31,F2,31,8,20,"Middle Aged",Families,6870,1373529,OCEANIA,200,Shopify,Monday,35
31/8/20,2020-08-31,C1,31,8,20,"Young Adults",Couples,172521,3964262,OCEANIA,23,Retail,Monday,35
31/8/20,2020-08-31,C2,31,8,20,"Middle Aged",Couples,105,14694,CANADA,140,Shopify,Monday,35
31/8/20,2020-08-31,F3,31,8,20,Retirees,Families,19524,690966,CANADA,35,Retail,Monday,35
31/8/20,2020-08-31,C4,31,8,20,Retirees,Couples,53286,1520060,ASIA,29,Retail,Monday,35
31/8/20,2020-08-31,C1,31,8,20,"Young Adults",Couples,2466,52421,"SOUTH AMERICA",21,Retail,Monday,35
31/8/20,2020-08-31,null,31,8,20,Unknown,Unknown,97001,3352338,EUROPE,35,Retail,Monday,35
31/8/20,2020-08-31,F3,31,8,20,Retirees,Families,36,6107,CANADA,170,Shopify,Monday,35
31/8/20,2020-08-31,F2,31,8,20,"Middle Aged",Families,2031,402380,USA,198,Shopify,Monday,35
31/8/20,2020-08-31,F2,31,8,20,"Middle Aged",Families,277600,14910405,AFRICA,54,Retail,Monday,35
31/8/20,2020-08-31,F2,31,8,20,"Middle Aged",Families,157,25858,USA,165,Shopify,Monday,35
31/8/20,2020-08-31,null,31,8,20,Unknown,Unknown,20,4085,EUROPE,204,Shopify,Monday,35
31/8/20,2020-08-31,C1,31,8,20,"Young Adults",Couples,2801,481198,OCEANIA,172,Shopify,Monday,35
31/8/20,2020-08-31,null,31,8,20,Unknown,Unknown,396145,11133538,CANADA,28,Retail,Monday,35
31/8/20,2020-08-31,F2,31,8,20,"Middle Aged",Families,28592,1063716,USA,37,Retail,Monday,35
31/8/20,2020-08-31,C2,31,8,20,"Middle Aged",Couples,23062,1001335,CANADA,43,Retail,Monday,35
31/8/20,2020-08-31,null,31,8,20,Unknown,Unknown,2437738,63989387,OCEANIA,26,Retail,Monday,35
31/8/20,2020-08-31,null,31,8,20,Unknown,Unknown,343,79359,EUROPE,231,Shopify,Monday,35
31/8/20,2020-08-31,F3,31,8,20,Retirees,Families,3920,836865,OCEANIA,213,Shopify,Monday,35
31/8/20,2020-08-31,null,31,8,20,Unknown,Unknown,384,67279,ASIA,175,Shopify,Monday,35
31/8/20,2020-08-31,F3,31,8,20,Retirees,Families,329,11863,"SOUTH AMERICA",36,Retail,Monday,35
31/8/20,2020-08-31,F2,31,8,20,"Middle Aged",Families,1738,72565,EUROPE,42,Retail,Monday,35
31/8/20,2020-08-31,F3,31,8,20,Retirees,Families,110894,3749562,OCEANIA,34,Retail,Monday,35
31/8/20,2020-08-31,null,31,8,20,Unknown,Unknown,196,40740,USA,208,Shopify,Monday,35
31/8/20,2020-08-31,C3,31,8,20,Retirees,Couples,102736,5786447,USA,56,Retail,Monday,35
31/8/20,2020-08-31,C4,31,8,20,Retirees,Couples,4652,250536,EUROPE,54,Retail,Monday,35
31/8/20,2020-08-31,null,31,8,20,Unknown,Unknown,50786,2056315,OCEANIA,40,Retail,Monday,35
31/8/20,2020-08-31,F3,31,8,20,Retirees,Families,3,372,"SOUTH AMERICA",124,Shopify,Monday,35
31/8/20,2020-08-31,C4,31,8,20,Retirees,Couples,731,136743,OCEANIA,187,Shopify,Monday,35
31/8/20,2020-08-31,C3,31,8,20,Retirees,Couples,115,16103,CANADA,140,Shopify,Monday,35
31/8/20,2020-08-31,null,31,8,20,Unknown,Unknown,2172,407861,"SOUTH AMERICA",188,Shopify,Monday,35
31/8/20,2020-08-31,F3,31,8,20,Retirees,Families,63,10501,USA,167,Shopify,Monday,35
31/8/20,2020-08-31,C4,31,8,20,Retirees,Couples,13579,451994,CANADA,33,Retail,Monday,35
31/8/20,2020-08-31,C4,31,8,20,Retirees,Couples,164,29757,USA,181,Shopify,Monday,35
31/8/20,2020-08-31,C2,31,8,20,"Middle Aged",Couples,726,125653,CANADA,173,Shopify,Monday,35
31/8/20,2020-08-31,C3,31,8,20,Retirees,Couples,247,35572,ASIA,144,Shopify,Monday,35
31/8/20,2020-08-31,C1,31,8,20,"Young Adults",Couples,277,35314,ASIA,127,Shopify,Monday,35
31/8/20,2020-08-31,null,31,8,20,Unknown,Unknown,507,83877,OCEANIA,165,Shopify,Monday,35
31/8/20,2020-08-31,C1,31,8,20,"Young Adults",Couples,132545,2819145,ASIA,21,Retail,Monday,35
31/8/20,2020-08-31,F3,31,8,20,Retirees,Families,89785,2770220,ASIA,31,Retail,Monday,35
31/8/20,2020-08-31,F3,31,8,20,Retirees,Families,1083,224778,USA,208,Shopify,Monday,35
31/8/20,2020-08-31,C1,31,8,20,"Young Adults",Couples,1282,210754,ASIA,164,Shopify,Monday,35
31/8/20,2020-08-31,null,31,8,20,Unknown,Unknown,300,51883,AFRICA,173,Shopify,Monday,35
31/8/20,2020-08-31,C4,31,8,20,Retirees,Couples,100,15077,OCEANIA,151,Shopify,Monday,35
31/8/20,2020-08-31,C4,31,8,20,Retirees,Couples,414,18437,"SOUTH AMERICA",45,Retail,Monday,35
31/8/20,2020-08-31,null,31,8,20,Unknown,Unknown,3,472,"SOUTH AMERICA",157,Shopify,Monday,35
31/8/20,2020-08-31,null,31,8,20,Unknown,Unknown,8410,411147,CANADA,49,Retail,Monday,35
31/8/20,2020-08-31,F2,31,8,20,"Middle Aged",Families,249,55333,EUROPE,222,Shopify,Monday,35
31/8/20,2020-08-31,C1,31,8,20,"Young Adults",Couples,3087,85926,"SOUTH AMERICA",28,Retail,Monday,35
31/8/20,2020-08-31,F3,31,8,20,Retirees,Families,122,20927,AFRICA,172,Shopify,Monday,35
31/8/20,2020-08-31,null,31,8,20,Unknown,Unknown,37883,1657269,AFRICA,44,Retail,Monday,35
31/8/20,2020-08-31,C4,31,8,20,Retirees,Couples,46,6147,ASIA,134,Shopify,Monday,35
31/8/20,2020-08-31,C4,31,8,20,Retirees,Couples,110176,4894437,ASIA,44,Retail,Monday,35
31/8/20,2020-08-31,null,31,8,20,Unknown,Unknown,1547309,44346247,AFRICA,29,Retail,Monday,35
31/8/20,2020-08-31,F1,31,8,20,"Young Adults",Families,4498,839437,OCEANIA,187,Shopify,Monday,35
31/8/20,2020-08-31,F1,31,8,20,"Young Adults",Families,789,134990,CANADA,171,Shopify,Monday,35
31/8/20,2020-08-31,C3,31,8,20,Retirees,Couples,109,23057,"SOUTH AMERICA",212,Shopify,Monday,35
31/8/20,2020-08-31,C4,31,8,20,Retirees,Couples,1352,49263,EUROPE,36,Retail,Monday,35
31/8/20,2020-08-31,null,31,8,20,Unknown,Unknown,38663,1493771,ASIA,39,Retail,Monday,35
31/8/20,2020-08-31,C2,31,8,20,"Middle Aged",Couples,389,57455,AFRICA,148,Shopify,Monday,35
31/8/20,2020-08-31,null,31,8,20,Unknown,Unknown,14685,561282,CANADA,38,Retail,Monday,35
31/8/20,2020-08-31,null,31,8,20,Unknown,Unknown,22186,930478,USA,42,Retail,Monday,35
31/8/20,2020-08-31,C2,31,8,20,"Middle Aged",Couples,842,132424,OCEANIA,157,Shopify,Monday,35
31/8/20,2020-08-31,F1,31,8,20,"Young Adults",Families,135,20860,USA,155,Shopify,Monday,35
31/8/20,2020-08-31,C1,31,8,20,"Young Adults",Couples,186404,6891042,AFRICA,37,Retail,Monday,35
31/8/20,2020-08-31,C1,31,8,20,"Young Adults",Couples,1689,269373,AFRICA,159,Shopify,Monday,35
31/8/20,2020-08-31,null,31,8,20,Unknown,Unknown,413244,16755039,"SOUTH AMERICA",41,Retail,Monday,35
31/8/20,2020-08-31,F1,31,8,20,"Young Adults",Families,228,33200,ASIA,146,Shopify,Monday,35
31/8/20,2020-08-31,C1,31,8,20,"Young Adults",Couples,260181,9284850,OCEANIA,36,Retail,Monday,35
31/8/20,2020-08-31,F2,31,8,20,"Middle Aged",Families,14482,887564,EUROPE,61,Retail,Monday,35
31/8/20,2020-08-31,C1,31,8,20,"Young Adults",Couples,118,27732,EUROPE,235,Shopify,Monday,35
31/8/20,2020-08-31,C1,31,8,20,"Young Adults",Couples,97673,2423159,AFRICA,25,Retail,Monday,35
31/8/20,2020-08-31,F3,31,8,20,Retirees,Families,113,15927,ASIA,141,Shopify,Monday,35
31/8/20,2020-08-31,null,31,8,20,Unknown,Unknown,1266,44500,"SOUTH AMERICA",35,Retail,Monday,35
31/8/20,2020-08-31,F1,31,8,20,"Young Adults",Families,6,623,"SOUTH AMERICA",104,Shopify,Monday,35
31/8/20,2020-08-31,C3,31,8,20,Retirees,Couples,46838,1769576,USA,38,Retail,Monday,35
31/8/20,2020-08-31,C4,31,8,20,Retirees,Couples,18774,665292,USA,35,Retail,Monday,35
31/8/20,2020-08-31,C4,31,8,20,Retirees,Couples,40024,2186307,USA,55,Retail,Monday,35
31/8/20,2020-08-31,C2,31,8,20,"Middle Aged",Couples,1420,277104,USA,195,Shopify,Monday,35
31/8/20,2020-08-31,C2,31,8,20,"Middle Aged",Couples,87269,2234801,ASIA,26,Retail,Monday,35
31/8/20,2020-08-31,null,31,8,20,Unknown,Unknown,154,25762,USA,167,Shopify,Monday,35
31/8/20,2020-08-31,C3,31,8,20,Retirees,Couples,1501,312519,USA,208,Shopify,Monday,35
31/8/20,2020-08-31,C4,31,8,20,Retirees,Couples,22,4971,EUROPE,226,Shopify,Monday,35
31/8/20,2020-08-31,C3,31,8,20,Retirees,Couples,62206,3227065,CANADA,52,Retail,Monday,35
31/8/20,2020-08-31,null,31,8,20,Unknown,Unknown,1621,269863,CANADA,166,Shopify,Monday,35
31/8/20,2020-08-31,F2,31,8,20,"Middle Aged",Families,65304,2291992,AFRICA,35,Retail,Monday,35
31/8/20,2020-08-31,null,31,8,20,Unknown,Unknown,3211,150741,EUROPE,47,Retail,Monday,35
31/8/20,2020-08-31,null,31,8,20,Unknown,Unknown,278,46931,ASIA,169,Shopify,Monday,35
31/8/20,2020-08-31,F1,31,8,20,"Young Adults",Families,138,30015,EUROPE,218,Shopify,Monday,35
31/8/20,2020-08-31,F2,31,8,20,"Middle Aged",Families,96079,5527494,USA,58,Retail,Monday,35
31/8/20,2020-08-31,C1,31,8,20,"Young Adults",Couples,739,128749,USA,174,Shopify,Monday,35
31/8/20,2020-08-31,F2,31,8,20,"Middle Aged",Families,1098,48912,"SOUTH AMERICA",45,Retail,Monday,35
31/8/20,2020-08-31,null,31,8,20,Unknown,Unknown,83764,2829225,OCEANIA,34,Retail,Monday,35
31/8/20,2020-08-31,C3,31,8,20,Retirees,Couples,14816,815588,EUROPE,55,Retail,Monday,35
31/8/20,2020-08-31,C2,31,8,20,"Middle Aged",Couples,2568,471837,AFRICA,184,Shopify,Monday,35
31/8/20,2020-08-31,F3,31,8,20,Retirees,Families,1916,372983,ASIA,195,Shopify,Monday,35
31/8/20,2020-08-31,F1,31,8,20,"Young Adults",Families,333,48796,OCEANIA,147,Shopify,Monday,35
31/8/20,2020-08-31,C2,31,8,20,"Middle Aged",Couples,906,25570,"SOUTH AMERICA",28,Retail,Monday,35
31/8/20,2020-08-31,null,31,8,20,Unknown,Unknown,14146,694767,USA,49,Retail,Monday,35
31/8/20,2020-08-31,null,31,8,20,Unknown,Unknown,621,121005,OCEANIA,195,Shopify,Monday,35
31/8/20,2020-08-31,F2,31,8,20,"Middle Aged",Families,4911,944157,AFRICA,192,Shopify,Monday,35
31/8/20,2020-08-31,C1,31,8,20,"Young Adults",Couples,56256,2299419,CANADA,41,Retail,Monday,35
31/8/20,2020-08-31,F2,31,8,20,"Middle Aged",Families,345420,18073554,OCEANIA,52,Retail,Monday,35
31/8/20,2020-08-31,null,31,8,20,Unknown,Unknown,2647,479002,USA,181,Shopify,Monday,35
31/8/20,2020-08-31,C2,31,8,20,"Middle Aged",Couples,14915,458589,CANADA,31,Retail,Monday,35
31/8/20,2020-08-31,C4,31,8,20,Retirees,Couples,438,80612,AFRICA,184,Shopify,Monday,35
31/8/20,2020-08-31,F3,31,8,20,Retirees,Families,69632,2472247,AFRICA,36,Retail,Monday,35
31/8/20,2020-08-31,C1,31,8,20,"Young Adults",Couples,522,69079,OCEANIA,132,Shopify,Monday,35
31/8/20,2020-08-31,F1,31,8,20,"Young Adults",Families,312,11256,"SOUTH AMERICA",36,Retail,Monday,35
31/8/20,2020-08-31,C2,31,8,20,"Middle Aged",Couples,17,2340,EUROPE,138,Shopify,Monday,35
31/8/20,2020-08-31,F1,31,8,20,"Young Adults",Families,61,8381,CANADA,137,Shopify,Monday,35
31/8/20,2020-08-31,C3,31,8,20,Retirees,Couples,153925,4929679,OCEANIA,32,Retail,Monday,35
31/8/20,2020-08-31,C2,31,8,20,"Middle Aged",Couples,129513,4917788,ASIA,38,Retail,Monday,35
31/8/20,2020-08-31,C3,31,8,20,Retirees,Couples,12,1924,EUROPE,160,Shopify,Monday,35
31/8/20,2020-08-31,null,31,8,20,Unknown,Unknown,376,70596,AFRICA,188,Shopify,Monday,35
31/8/20,2020-08-31,C3,31,8,20,Retirees,Couples,29338,1026555,CANADA,35,Retail,Monday,35
31/8/20,2020-08-31,F2,31,8,20,"Middle Aged",Families,98,14789,CANADA,151,Shopify,Monday,35
31/8/20,2020-08-31,C2,31,8,20,"Middle Aged",Couples,134,26393,"SOUTH AMERICA",197,Shopify,Monday,35
24/8/20,2020-08-24,null,24,8,20,Unknown,Unknown,1548059,44081216,AFRICA,28,Retail,Monday,34
24/8/20,2020-08-24,F2,24,8,20,"Middle Aged",Families,1898,397206,USA,209,Shopify,Monday,34
24/8/20,2020-08-24,F1,24,8,20,"Young Adults",Families,2592,489706,AFRICA,189,Shopify,Monday,34
24/8/20,2020-08-24,F2,24,8,20,"Middle Aged",Families,1350,258395,CANADA,191,Shopify,Monday,34
24/8/20,2020-08-24,F2,24,8,20,"Middle Aged",Families,28566,1082176,USA,38,Retail,Monday,34
24/8/20,2020-08-24,null,24,8,20,Unknown,Unknown,430,71730,OCEANIA,167,Shopify,Monday,34
24/8/20,2020-08-24,C1,24,8,20,"Young Adults",Couples,30970,809732,CANADA,26,Retail,Monday,34
